"Code";"Habitat";"Age";"Surface";"Buchholzia";"Buchholzia fallax";"Enchytraeidae";"Enchytraeus";"Enchytraeus japonensis";"Enchytraeus luxuriosus";"Fridericia";"Fridericia tuberosa";"Henlea cf. andreae PDW-2010";"Henlea ventriculosa";"Hormogastridae";"Vignysa";"Vignysa teres";"Aporrectodea";"Aporrectodea nocturna";"Aporrectodea rosea";"Bimastos";"Bimastos parvus";"Eisenia andrei";"Eisenia fetida";"Eiseniella tetraedra";"Lumbricidae";"Lumbricinae";"Achaeta";"Achaeta iberica";"Amynthas";"Megascolecidae";"Microscolex";"Microscolex dubius";"Microscolex phosphoreus";"Naididae";"Eukerria";"Eukerria saltensis";"Ocnerodrilidae";"Lumbricina";"Oligochaeta"
"CpPl_47Pri";"CpPl";1;"34.8";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpPl_48Pri";"CpPl";1;"31.21";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_36Pri";"CpUt";1;"17.93";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_37Pri";"CpUt";1;"23.8";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_38Pri";"CpUt";1;"13.02";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpPl_24Rob";"CpPl";2;"53";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpPl_25Rob";"CpPl";2;"22.9";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"CpPl_26Rob";"CpPl";2;"48.6";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0
"CpPl_27Rob";"CpPl";2;"9.8";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"CpPl_28Rob";"CpPl";2;"19.7";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0
"CpUt_15Rob";"CpUt";2;"44";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_16Rob";"CpUt";2;"21.4";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_17Rob";"CpUt";2;"50.5";0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_18Rob";"CpUt";2;"51.7";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EspV_08Rob";"EspV";2;"35.1";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpPl_49San";"CpPl";1;"20.39";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_39San";"CpUt";1;"52.31";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_40San";"CpUt";1;"68.3";0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_41San";"CpUt";1;"35";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_42San";"CpUt";1;"48.78";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_43San";"CpUt";1;"15.25";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CpUt_44San";"CpUt";1;"14.77";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"EspV_19San";"EspV";1;"81.41";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
